archive_rel,size_bytes,category,target_rel,similarity
Components/Form/Sections/PriceSection.vue,1809,basename-similar,js/src/features/AdSections/PriceSection/ui/PriceSection.vue,1.0
Components/Form/Sections/PromoSection.vue,1297,basename-similar,js/src/features/AdSections/PromoSection/ui/PromoSection.vue,1.0
Components/Form/Sections/ScheduleSection.vue,9364,basename-similar,js/src/features/AdSections/ScheduleSection/ui/ScheduleSection.vue,0.9999
Components/Form/Sections/ServiceProviderSection.vue,1452,basename-similar,js/src/features/AdSections/ServiceProviderSection/ui/ServiceProviderSection.vue,0.8499
Components/Form/Sections/SpecialtySection.vue,1392,basename-similar,js/src/features/AdSections/SpecialtySection/ui/SpecialtySection.vue,0.9041
Components/Form/Sections/TitleSection.vue,3076,basename-similar,js/src/features/AdSections/TitleSection/ui/TitleSection.vue,0.8923
Components/Form/Sections/VideosSection.vue,1417,basename-similar,js/src/features/AdSections/VideosSection/ui/VideosSection.vue,1.0
Components/Form/Sections/WorkFormatSection.vue,1170,basename-similar,js/src/features/AdSections/WorkFormatSection/ui/WorkFormatSection.vue,1.0
Components/Form/Upload/PhotoUploader.vue,9783,basename-similar,js/src/entities/ad/ui/AdForm/upload/PhotoUploader.vue,0.9999
Components/Form/Upload/VideoUploader.vue,8271,basename-similar,js/src/entities/ad/ui/AdForm/upload/VideoUploader.vue,1.0
Components/Gallery/PhotoGallery.vue,12705,basename-similar,js/src/features/gallery/ui/PhotoGallery/PhotoGallery.vue,0.5761
Components/Header/AuthBlock.vue,555,missing,,
Components/Header/CatalogDropdown.vue,8911,basename-similar,js/src/features/catalog/ui/CatalogDropdown/CatalogDropdown.vue,0.6767
Components/Header/CityModal.vue,6005,basename-similar,js/src/features/city-selector/ui/CityModal/CityModal.vue,0.4686
Components/Header/CitySelector.vue,828,basename-similar,js/src/widgets/header/CitySelector.vue,0.7743
Components/Header/CompareButton.vue,912,missing,,
Components/Header/FavoritesButton.vue,794,missing,,
Components/Header/Logo.vue,250,basename-similar,js/src/widgets/header/Logo.vue,0.9222
Components/Header/MobileMenu.vue,5786,basename-similar,js/src/widgets/header/MobileMenu.vue,0.9369
Components/Header/Navbar.vue,5713,missing,,
Components/Header/QuickLinks.vue,751,missing,,
Components/Header/SearchBar.vue,3232,basename-similar,js/src/features/search/ui/SearchBar/SearchBar.vue,0.9427
Components/Header/UserMenu.vue,7818,missing,,
Components/Icons/TelegramIcon.vue,862,missing,,
Components/Icons/WhatsAppIcon.vue,1336,missing,,
Components/Layout/BackButton.vue,1632,basename-similar,js/src/shared/ui/molecules/BackButton/BackButton.vue,0.7955
Components/Layout/Breadcrumbs.vue,2212,basename-similar,js/src/shared/ui/molecules/Breadcrumbs/Breadcrumbs.vue,0.4601
Components/Layout/ContentCard.vue,1823,basename-similar,js/src/shared/layouts/components/ContentCard.vue,0.7816
Components/Layout/PageHeader.vue,1240,basename-similar,js/src/shared/layouts/components/PageHeader.vue,0.5797
Components/Layout/PageSection.vue,2214,basename-similar,js/src/shared/layouts/components/PageSection.vue,0.6127
Components/Layout/SidebarWrapper.vue,6958,basename-similar,js/src/shared/layouts/components/SidebarWrapper.vue,0.8271
Components/Map/Map.vue,2876,missing,,
Components/Map/MapMarker.vue,0,basename-similar,js/src/features/map/ui/MapMarker/MapMarker.vue,0.0
Components/Map/SimpleMap.vue,3632,missing,,
Components/Map/UniversalMap.vue,12250,basename-similar,js/src/features/map/ui/UniversalMap/UniversalMap.vue,0.6886
Components/Map/YandexMap.vue,9949,missing,,
Components/Masters/BookingWidget/BookingActions.vue,6212,basename-similar,js/src/entities/booking/ui/BookingWidget/BookingActions.vue,0.9204
Components/Masters/BookingWidget/PriceCalculator.vue,720,basename-similar,js/src/entities/booking/ui/BookingWidget/PriceCalculator.vue,0.969
Components/Masters/BookingWidget/TimeSlotPicker.vue,10108,basename-similar,js/src/entities/booking/ui/BookingWidget/TimeSlotPicker.vue,0.877
Components/Masters/BookingWidget/WorkSchedule.vue,6686,basename-similar,js/src/entities/booking/ui/BookingWidget/WorkSchedule.vue,0.8649
Components/Masters/BookingWidget/index.vue,1552,basename-similar,js/src/entities/booking/ui/BookingWidget/index.vue,0.9422
Components/Masters/BookingWidget/useBooking.js,6274,basename-similar,js/src/entities/booking/ui/BookingWidget/useBooking.ts,0.9191
Components/Masters/MasterContactCard/index.vue,4851,basename-similar,js/Pages/Wallet/Index.vue,0.79
Components/Masters/MasterContactInfo.vue,9726,missing,,
Components/Masters/MasterDescription/index.vue,1511,basename-similar,js/src/entities/booking/ui/BookingWidget/index.vue,0.8265
Components/Masters/MasterDetails/InfoBlock.vue,5056,missing,,
Components/Masters/MasterDetails/index.vue,12639,basename-similar,js/Pages/Reviews/Index.vue,0.8587
Components/Masters/MasterGallery.vue,11670,basename-similar,js/src/entities/master/ui/MasterGallery/MasterGallery.vue,0.0695
Components/Masters/MasterGallery/GalleryImage.vue,2979,missing,,
Components/Masters/MasterGallery/GalleryLightbox.vue,3797,missing,,
Components/Masters/MasterGallery/ImageGalleryModal.vue,11041,basename-similar,js/src/shared/ui/molecules/ImageGallery/ImageGalleryModal.vue,0.8762
Components/Masters/MasterGallery/MasterGalleryPreview.vue,6372,missing,,
Components/Masters/MasterGallery/OzonStyleGallery.vue,9949,missing,,
Components/Masters/MasterGallery/ThumbnailList.vue,5953,missing,,
Components/Masters/MasterGallery/index.vue,3779,basename-similar,js/widgets/master-profile/index.ts,0.7555
Components/Masters/MasterGallery/useGallery.js,2916,missing,,
Components/Masters/MasterGalleryPreview.vue,6390,missing,,
Components/Masters/MasterHeader/QuickStats.vue,4071,missing,,
Components/Masters/MasterHeader/index.vue,3978,basename-similar,js/Pages/Compare/Index.vue,0.7956
Components/Masters/MasterInfo/index.vue,3664,basename-similar,js/widgets/master-profile/index.ts,0.7837
Components/Masters/MasterReviews/index.vue,2876,basename-similar,js/widgets/master-profile/index.ts,0.8003
Components/Masters/MasterServices/index.vue,1917,basename-similar,js/src/entities/booking/ui/BookingWidget/index.vue,0.7856
Components/Masters/ReviewsSection.vue,15184,missing,,
Components/Masters/ServicesSection.vue,8319,missing,,
Components/Masters/SimilarMastersSection.vue,7202,missing,,
Components/Media/MediaGallery/PrivacyGallery.vue,2775,missing,,
Components/Media/MediaGallery/index.vue,3244,basename-similar,js/widgets/master-profile/index.ts,0.822
Components/Media/MediaUploader/PhotoUploader.vue,2894,basename-similar,js/src/entities/ad/ui/AdForm/upload/PhotoUploader.vue,0.4494
Components/Media/MediaUploader/index.vue,1088,basename-similar,js/src/features/Services/index.vue,0.7478
Components/MediaUpload/MediaUploader.vue,11847,missing,,
Components/MetaTags.vue,2235,missing,,
Components/Modals/BookingModal.vue,3596,basename-similar,js/src/entities/booking/ui/BookingModal/BookingModal.vue,0.2258
Components/Modals/PhoneModal.vue,2187,missing,,
Components/Profile/ItemCard.vue,6798,basename-similar,js/Pages/Demo/ItemCard.vue,0.7633
Components/Profile/ItemCardDemo.vue,2834,basename-similar,js/src/entities/ad/ui/AdCard/ItemCardDemo.vue,0.9473
Components/Reviews/ReviewsList.vue,18621,missing,,
Components/UI/BaseCheckbox.vue,2413,basename-similar,js/src/shared/ui/atoms/BaseCheckbox/BaseCheckbox.vue,0.9472
Components/UI/BaseInput.vue,8005,basename-similar,js/src/shared/ui/atoms/BaseInput/BaseInput.vue,0.8279
Components/UI/BaseRadio.vue,2467,basename-similar,js/src/shared/ui/atoms/BaseRadio/BaseRadio.vue,0.9614
Components/UI/BaseSelect.vue,6018,basename-similar,js/src/shared/ui/atoms/BaseSelect/BaseSelect.vue,0.976
Components/UI/BaseTextarea.vue,5466,basename-similar,js/src/shared/ui/atoms/BaseTextarea/BaseTextarea.vue,0.9309
Components/UI/Buttons/DangerButton.vue,578,basename-similar,js/src/shared/ui/molecules/Buttons/DangerButton.vue,0.9697
Components/UI/Buttons/PrimaryButton.vue,600,basename-similar,js/src/shared/ui/molecules/Buttons/PrimaryButton.vue,0.9708
